	Iozone: Performance Test of File I/O
	        Version $Revision: 3.429 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Sat May  2 05:48:13 2020

	Auto Mode
	O_DIRECT feature enabled
	Command line used: iozone -aI
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
          131072     128   300571   329645   288368   288562   166692   332094   157327    283851    123001   523902   744102   458765   434018
          131072     256   346132   362491   318250   320912   226552   371247   225992    266193    190087   548859   772848   465273   574264
          131072     512   376773   387997   341408   341049   267220   381737   285971    270149    249602   559957   774716   739475   675764
          131072    1024   523640   538117   611263   612225   537237   570232   500544    517850    414930   559352   773445   744723   679897
          131072    2048   561052   512608   682246   692356   571433   421766   538531    474079    466274   566347   792594   738774   674933
          131072    4096   483980   468032   774365   759375   726792   513470   689942    476024    710044   433291   660149   731338   667709
          131072    8192   506438   463594   786430   774547   770164   499531   763693    513518    684891   247365   300810   459284   430853
          131072   16384   495342   542003   856092   847902   845865   529267   848367    550796    802639   247371   280360   451011   422295
          262144      64   235041   272854   239950   240205    81741   274375    95840    271522     87988   495967   704620   441149   419093
          262144     128   301022   331514   289664   288251   125107   333201   129454    264959    116454   530961   754021   443457   420155
          262144     256   351240   369061   322176   322494   190142   372440   184738    265333    168640   545947   756201   773705   698903
          262144     512   379724   389874   340742   341626   258978   390477   249921    270034    233524   554725   765654   768800   709095
          262144    1024   527657   522037   605458   608279   471506   541344   427411    477842    416745   557491   784209   780459   714576
          262144    2048   551523   498082   681935   680561   555562   504289   518919    530146    484450   557424   782164   791019   718785
          262144    4096   480754   526744   737710   733497   716242   526874   691882    564886    686861   531384   720603   780966   711223
          262144    8192   528019   531761   803314   804471   792227   549694   783759    442105    793375   391921   484649   787825   716939
          262144   16384   498892   498011   877287   875634   870957   510274   874212    545130    830052   355899   423197   777621   708393
          524288      64   237996   277553   245973   245678    77387   272742    83468    219963     80081   493743   706333   438029   414348
          524288     128   310116   339945   296692   297069   104064   333740   117378    227539    113219   507071   717397   459830   435016
          524288     256   350692   370295   321209   320085   176977   369394   172697    235995    166814   527253   764694   455950   434125
          524288     512   381430   392775   339849   339963   240630   392972   237838    228694    235286   549047   776623   450863   431300
          524288    1024   460910   469906   607229   605467   436132   460085   429286    480015    418282   547986   783389   459661   433499
          524288    2048   502392   534643   661367   648729   518905   496146   518335    532678    501309   378102   361708   482307   460609
          524288    4096   522090   510767   727087   727853   714359   548370   719785    490611    744347   533381   721138   774534   705537
          524288    8192   534142   518852   817485   814150   803964   525365   785438    527549    788408   368176   427675   767431   692068
          524288   16384   501836   544186   854930   859712   852651   507512   858853    538647    852513   231193   260334   442865   417980

iozone test complete.
